Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@jason1749,1:05 PM - 14 Feb 2015,@kenlowery @benito_cereno #bikefurnace through history, ,https://twitter.com/jason1749/status/566659499549675520
@TheOtherJeff,11:42 AM - 6 Feb 2015,The #bikefurnace demands more slag to fuel its infernal engines. That can only mean it's @kenlowery's birthday., ,https://twitter.com/TheOtherJeff/status/563739628633853956
@ineptune_,5:52 PM - 28 Oct 2014,does anyone remember #bikefurnace at @TEDxToronto? asking for a friend, ,https://twitter.com/ineptune_/status/527216264398528512
@jason1749,10:28 AM - 15 Oct 2014,@talestoenrage @mightygodking @kenlowery @TheOtherJeff @daveexmachina just taking a coal shovel to a pile of kittens as #bikefurnace purrs, ,https://twitter.com/jason1749/status/522393477800529920
@AndrewIhla,2:42 PM - 13 Sep 2014,@jason1749 @highway_62 @kenlowery The #bikefurnace must be reset every day or this hotel will explode with #bikes., ,https://twitter.com/AndrewIhla/status/510861019816927232
@jason1749,2:33 PM - 13 Sep 2014,@highway_62 @kenlowery ken's always been in the #bikefurnace, ,https://twitter.com/jason1749/status/510858769769975808
@ineptune_ebooks,7:25 PM - 24 Aug 2014,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/503684428598882304
@kenlowery,8:38 AM - 15 Aug 2014,@brendlewhat @DuncanIdunno oh shit has #BIKEFURNACE gone rogue?, ,https://twitter.com/kenlowery/status/500260173085433858
@mikeykolberg,6:10 AM - 15 Aug 2014,Umm #bikefurnace? @DuncanIdunno https://twitter.com/cbctoronto/status/500221690413334528 …,https://t.co/sMPbRqskmm,https://twitter.com/mikeykolberg/status/500222933999300608
@DuncanIdunno,11:06 PM - 14 Aug 2014,#bikefurnace http://www.cbc.ca/1.2736345 ,http://t.co/8BqXlkvsDy,https://twitter.com/DuncanIdunno/status/500116232083750914
@Sleestak,4:15 PM - 12 Aug 2014,@bigredrobot @TheOtherJeff @jason1749 @kenlowery That's the building down street from the #bikefurnace?, ,https://twitter.com/Sleestak/status/499288202650595328
@jason1749,2:28 PM - 24 Jul 2014,Is SDCC at overload already? Have they started funneling attendees into #bikefurnace?, ,https://twitter.com/jason1749/status/492375731012251648
@ineptune_ebooks,2:20 PM - 24 Jul 2014,"#BikeFurnace now rroaming strests have to get it out of the room, a presence unto itself. #bestpartyever", ,https://twitter.com/ineptune_ebooks/status/492373736402980866
@kenlowery,10:00 PM - 14 Jul 2014,@Bro_Pair @fart @crushingbort FYI my pal @jeanvendors did an artist rendering of the #BIKEFURNACE pic.twitter.com/G2tRuYSwkS,http://t.co/G2tRuYSwkS,https://twitter.com/kenlowery/status/488865667156672512
@kenlowery,12:36 AM - 14 Jul 2014,@Bro_Pair @fart @crushingbort #BIKEFURNACE, ,https://twitter.com/kenlowery/status/488542432674336769
@mikeykolberg,9:22 PM - 8 Jul 2014,@DuncanIdunno #bikefurnace, ,https://twitter.com/mikeykolberg/status/486681887671607296
@daveexmachina,1:43 PM - 7 Jul 2014,"@rusty_shackles @kenlowery except by ""fire"" we are pointed towards the #bikefurnace", ,https://twitter.com/daveexmachina/status/486203840526831618
@nicknewt,5:49 PM - 8 Jun 2014,“The fuck’s a #bikefurnace?” #potentialCIAtweets, ,https://twitter.com/nicknewt/status/475756491660877824
@ineptune_ebooks,12:15 AM - 25 May 2014,"#BikeFurnace now rroaming strests have to get it out of the Frying Pan and into the drain, never to see you no matter how stacked against", ,https://twitter.com/ineptune_ebooks/status/470417910432038912
@ineptune_ebooks,6:22 AM - 16 May 2014,#BikeFurnace literally looks like the coors light logo, ,https://twitter.com/ineptune_ebooks/status/467248732724264960
@ineptune_ebooks,11:22 AM - 1 May 2014,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/461888275469578240
@ThatWeissGuy,12:07 PM - 17 Apr 2014,"@kenlowery @jeffparker I would feed you naked and screaming to the #bikefurnace of history, Ken.", ,https://twitter.com/ThatWeissGuy/status/456826229790736385
@CharlotteOfOz,10:51 PM - 30 Mar 2014,"Ken Lowery, his #bikefurnace aflame", ,https://twitter.com/CharlotteOfOz/status/450465287121297408
@DieRobinsonDie,9:56 PM - 19 Mar 2014,@jason1749 #bikefurnace, ,https://twitter.com/DieRobinsonDie/status/446465279141629952
@CharlotteOfOz,10:31 PM - 21 Feb 2014,"@kenlowery @DieRobinsonDie @mightygodking But what if Green Lantern use his or her (lol, his) ring to create a #bikefurnace", ,https://twitter.com/CharlotteOfOz/status/437067195080658944
@CharlotteOfOz,9:17 PM - 20 Feb 2014,@kenlowery @squideye @mightygodking @theisb Can we put all of those things into the #bikefurnace and what would the terrible cost be., ,https://twitter.com/CharlotteOfOz/status/436686167090556929
@CharlotteOfOz,9:09 PM - 20 Feb 2014,@mightygodking But what if Ken smelted an e-bike in the #bikefurnace and became a hybrid of e-bike and Ken, ,https://twitter.com/CharlotteOfOz/status/436684097885179904
@CharlotteOfOz,12:08 AM - 20 Feb 2014,Ken does the #bikefurnace #hate bikes or #love them?, ,https://twitter.com/CharlotteOfOz/status/436366609867759617
@kenlowery,10:48 PM - 17 Feb 2014,I absolutely could not love this #BikeFurnace avi drawn by @jeanvendors more than I do., ,https://twitter.com/kenlowery/status/435621773007003648
@kenlowery,5:06 PM - 11 Feb 2014,Changed avatar to @jeanvendors's rendition of the #BIKEFURNACE because why not. cc: @duncanIdunno @brendlewhat, ,https://twitter.com/kenlowery/status/433361378061987842
@franzferdinand2,11:23 AM - 7 Feb 2014,@kenlowery It's going up on the Wall of Fame with #BikeFurnace and #ShadowCranes, ,https://twitter.com/franzferdinand2/status/431825592561184768
@kenlowery,9:22 PM - 6 Feb 2014,OMFG #BikeFurnace drawn by @jeanvendors!!!! http://tmblr.co/ZVfEEy16fMbd- ,http://t.co/LfgsjR4rtA,https://twitter.com/kenlowery/status/431613850052726784
@kenlowery,8:51 PM - 6 Feb 2014,A fellow could have worse pals on the journey to the #BikeFurnace that awaits us all., ,https://twitter.com/kenlowery/status/431606166213230593
@jason1749,10:53 AM - 24 Jan 2014,How the hell are we gonna fit the Cannibal Rat Boat into the #bikefurnace?, ,https://twitter.com/jason1749/status/426744508739362817
@ineptune_ebooks,8:45 PM - 18 Jan 2014,#BikeFurnace literally looks like the happiest car ever, ,https://twitter.com/ineptune_ebooks/status/424719286977179649
@jason1749,6:44 PM - 16 Jan 2014,When can I cook poor people in #bikefurnace? RT @GOP: Tell us your top issues  Let’s win big in 2014., ,https://twitter.com/jason1749/status/423963943543914496
@ineptune_ebooks,7:31 PM - 12 Jan 2014,"#BikeFurnace will return. It's not over yet. For now, though, you are worth everything and more. i am carried out of the bag and it was", ,https://twitter.com/ineptune_ebooks/status/422526246892077057
@kenlowery,12:22 AM - 5 Jan 2014,"@Zbg333 @jeanvendors ""picture of the #BikeFurnace in action""", ,https://twitter.com/kenlowery/status/419700533717241856
@kenlowery,11:57 PM - 4 Jan 2014,"My God how did I forget #BikeFurnace, one of the Twitter Creations I am genuinely proud of.", ,https://twitter.com/kenlowery/status/419694211462463489
@franzferdinand2,11:56 PM - 4 Jan 2014,@kenlowery @jason1749 @THEKarlaPacheco @DieRobinsonDie @COOTERDOVES @ShadowCranes HAIL THE #BIKEFURNACE, ,https://twitter.com/franzferdinand2/status/419693910395326464
@Sleestak,4:53 PM - 26 Dec 2013,@Mike_Zeidler Thought it was about the #BikeFurnace, ,https://twitter.com/Sleestak/status/416325954328207360
@jason1749,10:55 AM - 18 Dec 2013,When you open the door to the Diversity Room you will fall directly into the #bikefurnace. BEWARE., ,https://twitter.com/jason1749/status/413336791869947904
@jason1749,2:26 PM - 31 Oct 2013,"Rob Ford comes busting out of City Hall, runs through the crowd of reporters and dives into the fiery maw of the #bikefurnace.", ,https://twitter.com/jason1749/status/395980170806308864
@ineptune_ebooks,6:00 PM - 25 Oct 2013,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/393859687453839360
@ineptune_ebooks,2:15 AM - 25 Oct 2013,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/393621755438579712
@ineptune_ebooks,9:15 PM - 23 Oct 2013,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/393183853541883906
@ineptune_ebooks,12:15 AM - 3 Sep 2013,#BikeFurnace now rroaming strests have to get out, ,https://twitter.com/ineptune_ebooks/status/374747345843675136
@jason1749,7:00 PM - 14 Aug 2013,@kenlowery @ARTofCOOP Guys don't joke about that rodeo clown that was tragically thrown into the #bikefurnace, ,https://twitter.com/jason1749/status/367782777397067778
@TheEgonomist,6:49 PM - 2 Aug 2013,@publicaddress watch out for the #bikefurnace http://thinkdifferently.ca/differently/tedxtoronto-bike-furnace/ …,http://t.co/gPBE08SgrR,https://twitter.com/TheEgonomist/status/363431356115582976
@7vibe,11:54 AM - 3 Jul 2013,#bikefurnace, ,https://twitter.com/7vibe/status/352455195692769280
@bumwees,9:13 PM - 28 Jun 2013,There's a tedx happening alarmingly close to where I live right now #bikefurnace, ,https://twitter.com/bumwees/status/350784094273155073
@actualleigh,7:45 PM - 25 Jun 2013,I just want to live in a place where people are arrested and their bikes are thrown into a #BIKEFURNACE if they ride on the sidewalk., ,https://twitter.com/actualleigh/status/349674681034473473
@sex_colum,12:38 PM - 21 May 2013,#XboxMemories my bike getting fucking stolen & melted down in the #TEDxToronto #BikeFurnace, ,https://twitter.com/sex_colum/status/336883616065912833
@jason1749,12:31 PM - 13 May 2013,"@jdkrach @daveexmachina @nprnews Soon, half the eastern seaboard's energy needs will be provided by #bikefurnace", ,https://twitter.com/jason1749/status/333982776292429824
@franzferdinand2,5:20 PM - 7 May 2013,@THEKarlaPacheco @kenlowery @starr226 @calamityjon You're like a #bikefurnace but for hatred and spite instead of bicycles. #TED, ,https://twitter.com/franzferdinand2/status/331881290741731328
