Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@kylelittleHI,2:32 PM - 15 Aug 2014,@tonywoodlief first? Puhleaz! The humanities haven't been fashionable since Dante's creek. #bonfireofthehumanities, ,https://twitter.com/kylelittleHI/status/500349408685211649
@burrlauren,3:24 PM - 13 Jul 2013,For reference: the infamous @GamesInstitute #ARG: http://torchinstitute.ca/archive  and @TorchInstitute #bonfireofthehumanities #thatcamp,http://t.co/sU8x718eDV,https://twitter.com/burrlauren/status/356131981110681600
@burrlauren,7:06 PM - 4 May 2013,So this just happened... @TorchInstitute  @totallyluke #BonfireOfTheHumanities pic.twitter.com/vW7mOtmnsq,http://t.co/vW7mOtmnsq,https://twitter.com/burrlauren/status/330820637104959488
@burrlauren,5:46 PM - 29 Apr 2013,"Writing about the @TEDxToronto #BikeFurnace, @OccupyMLA, @samplereality's Dulles apocalypse and #BonfireOfTheHumanities. Among other things.", ,https://twitter.com/burrlauren/status/328988695090839552
@burrlauren,4:02 PM - 28 Apr 2013,"Thanks to those who came to (and tweeted!) our #BonfireOfTheHumanities panel at #hastac2013! For more info, see http://torchinstitute.ca/archive .",http://t.co/zNTUYjrfAx,https://twitter.com/burrlauren/status/328600058448707586
@theHyperlab,1:01 PM - 28 Apr 2013,#hastac2013 Michael Hancock on designing #BonfireOfTheHumanities to instill a lusory attitude. What is a game allowed to be?, ,https://twitter.com/theHyperlab/status/328554649533689857
@Zoe_LeBlanc,12:23 PM - 28 Apr 2013,#BonfireOfTheHumanities ends bc admin sees it as poss. terrorist threat. Security concerns covering up desire not 2 b critiqued? #hastac2013, ,https://twitter.com/Zoe_LeBlanc/status/328545019801767936
@Zoe_LeBlanc,12:19 PM - 28 Apr 2013,"#BonfireOfTheHumanities meant to be theatrical critique, not a threat. Gr8 concept 2 highlight underfunding of humanities #hastac2013", ,https://twitter.com/Zoe_LeBlanc/status/328544023134474240
@Zoe_LeBlanc,12:08 PM - 28 Apr 2013,#BonfireOfTheHumanities AR game cancelled by university &congress of humanities. Was intended to critique academia #hastac2013, ,https://twitter.com/Zoe_LeBlanc/status/328541164678561792
@TorchInstitute,11:12 AM - 28 Apr 2013,Taking over #hastac2013 at 11:45 in 005! #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/328527256525889537
@burrlauren,2:27 AM - 25 Apr 2013,Behind-the-scenes on #BonfireOfTheHumanities: pic.twitter.com/8pPHav2F0T,http://t.co/8pPHav2F0T,https://twitter.com/burrlauren/status/327307897778348033
@TorchInstitute,8:41 AM - 3 Mar 2013,Recently found footage from a Torch protest at #congress2012: http://youtu.be/ZzMm43fFPao  #bonfireofthehumanities,http://t.co/nJTXiWeDSq,https://twitter.com/TorchInstitute/status/308210489110953986
@translostation,12:19 AM - 7 Nov 2012,@CutTheRightWire le sigh. What does it say that in Huxley's Brave New World I identify most with the Savage. #bonfireofthehumanities, ,https://twitter.com/translostation/status/266047074842341376
@burrlauren,10:59 AM - 5 Oct 2012,"@robotnik Speaking of ARGs, we should chat later. I'll fill you in on what went down with #BonfireOfTheHumanities at Congress!", ,https://twitter.com/burrlauren/status/254234376605413376
@Ghizal_Hasan,5:59 PM - 27 Sep 2012,"@Bretttweet Wait. You're a Russian Lit guy?  I'll be you even nicknamed your slider ""Solzhenitsyn."" #BonfireoftheHumanities", ,https://twitter.com/Ghizal_Hasan/status/251440830437527552
@JusticeLawDev,1:09 PM - 3 Sep 2012,This ———> MT @KempWrites: Too much of English reduced to pseudoscince of “measurable outcomes”#bonfireofthehumanities, ,https://twitter.com/JusticeLawDev/status/242670661896646656
@KempWrites,12:40 PM - 3 Sep 2012,"@JusticeLawDev 2/2 Now reduced to pseudoscince of ""measurable outcomes"" #bonfireofthehumanities", ,https://twitter.com/KempWrites/status/242663476114382848
@burrlauren,12:22 AM - 11 Aug 2012,So much self-righteous frustration disguised in academic jargon. #BonfireOfTheHumanities, ,https://twitter.com/burrlauren/status/234142807336558592
@burrlauren,12:21 AM - 11 Aug 2012,Feels damn good to finally be writing about the cancelled #BonfireOfTheHumanities #ARG after two months of stewing in my bitterness., ,https://twitter.com/burrlauren/status/234142482676457472
@OMTorah,3:06 AM - 1 Jul 2012,@Ilaniti_C never too late for #bonfireofthehumanities @gldmeier, ,https://twitter.com/OMTorah/status/219325983113752576
@burrlauren,5:40 PM - 10 Jun 2012,Ahem. #bonfireofthehumanities #congress2012 RT @theHyperlab: seems like a trend... #cgsa2012 @TorchInstitute http://www.ottawacitizen.com/news/Embarrassment+government+considered+security+threat+Toronto/6759816/story.html …,http://t.co/HmBTajhq,https://twitter.com/burrlauren/status/211935865897885697
@burrlauren,11:40 AM - 7 Jun 2012,"#thisisnotagame Curiously, we've had a lot of problems with this design strategy lately... #bonfireofthehumanities #dhsi2012", ,https://twitter.com/burrlauren/status/210758055749632001
@burrlauren,3:15 AM - 6 Jun 2012,"@ianmilligan1 For more info on #bonfireofthehumanities, check out http://torchinstitute.ca . @TorchInstitute",http://t.co/orWmzpIX,https://twitter.com/burrlauren/status/210268722009608192
@burrlauren,5:18 PM - 30 May 2012,@digiwonk @c_eaket @theHyperlab Thanks for the support! #bonfireofthehumanities, ,https://twitter.com/burrlauren/status/207944066258833408
@robertssw87,4:07 PM - 30 May 2012,@robotnik maybe the #bonfireofthehumanities lives on. Check out @TorchInstitute's recent tweet., ,https://twitter.com/robertssw87/status/207926100213506049
@theHyperlab,9:04 AM - 29 May 2012,@GeoffRockwell opens SDH-CGSA panel with call for more info about #bonfireofthehumanities controversy, ,https://twitter.com/theHyperlab/status/207457440550240256
@robotnik,11:15 PM - 28 May 2012,"The #Congress12 ARG #bonfireofthehumanities has been shut down? I don't buy it. Classic TINAG fakeout, people. http://www.playthepast.org/?p=1421 ",http://t.co/1Wt8cJcY,https://twitter.com/robotnik/status/207309048524177408
@burrlauren,10:42 PM - 26 May 2012,"Glad to see the @TorchInstitute at ""Hagey's Museum of Technological Curiosities"" tonight. #bonfireofthehumanities solidarity!", ,https://twitter.com/burrlauren/status/206576050614960129
@DerickShellbo,5:22 PM - 25 May 2012,This will be quite the site RT @TorchInstitute:Torch members flocking to Waterloo for #Congress2012. #bonfireofthehumanities, ,https://twitter.com/DerickShellbo/status/206133251637653505
@burrlauren,2:07 PM - 25 May 2012,"Looks like admin has shut down #bonfireofthehumanities, or rather the @TorchInstitute, the day before launch. Fuck. Stay tuned, folks!", ,https://twitter.com/burrlauren/status/206084139395448832
@TorchInstitute,2:50 PM - 24 May 2012,Executive Director Zenon Constantinopoulos to speak at Kitchener City Hall TONIGHT! #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205732525841195009
@TorchInstitute,12:44 PM - 24 May 2012,Torch members flocking to Waterloo for #Congress2012. #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205700873408622592
@TorchInstitute,10:27 PM - 23 May 2012,Freedon isn't not working. #freedommovement #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205485143668961280
@TorchInstitute,7:38 PM - 23 May 2012,#stealyourmarxistprofessorsidentity #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205442641159131138
@TorchInstitute,7:01 PM - 23 May 2012,When is @iancapstick going to come clean that NDP is in the pocket of greedy arts students? #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205433200107995136
@TorchInstitute,12:15 AM - 23 May 2012,Waterloo? More like Water-boo. #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/205149837224714240
@TorchInstitute,10:33 PM - 22 May 2012,"Three more days till showtime! Are you ready, Waterloo? #bonfireofthehumanities", ,https://twitter.com/TorchInstitute/status/205124281988956160
@TorchInstitute,11:47 AM - 16 May 2012,"#bonfireofthehumanities #congress2012 RT @JReynolds3: I heard there's going to be a bonfire, sounds awesome! @TorchInstitute", ,https://twitter.com/TorchInstitute/status/202787444012220417
@TorchInstitute,3:44 PM - 14 May 2012,@Prakash73894728 Swag coming soon! Look for us at registration during #Congress2012! #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/202122177544327170
@AmySanderson6,3:13 PM - 14 May 2012,This bonfire sounds like it's going to be great! @TorchInstitute #bonfireofthehumanities, ,https://twitter.com/AmySanderson6/status/202114407243841536
@TorchInstitute,2:25 PM - 14 May 2012,ATTN #Congress2012 attendees: Are you ready for the #bonfireofthehumanities?, ,https://twitter.com/TorchInstitute/status/202102371248128003
@TorchInstitute,8:59 PM - 7 May 2012,Great turnout at tonight's rally in Waterloo! We're assembling our army! #congress2012 #bonfireofthehumanities, ,https://twitter.com/TorchInstitute/status/199664777293873152
