Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@Miss_Stressa,3:12 AM - 27 May 2010,Bye @if and all. I'll let you know what happens in the next #feralC sessi-----[ TERMINATION ]------, ,https://twitter.com/Miss_Stressa/status/14819047404
@HUD_B,3:10 AM - 27 May 2010,omgGGGG wot just happened!!? @gossama!!!??? is it cos u typed #feralC? i'm scccccccaaaarrrr ----[ TERMINATION ]------, ,https://twitter.com/HUD_B/status/14818997215
@gossama,3:09 AM - 27 May 2010,so that's it 4 this round o #feralC @pupa_mistress ? wtf happened 2 @QReada? & whe-----[ TERMINATION ]------, ,https://twitter.com/gossama/status/14818952106
@gossama,3:05 AM - 27 May 2010,no stress @Miss_Stressa!! ;) u'll be fine. just getcha cam seen 2. #feralC, ,https://twitter.com/gossama/status/14818800898
@HUD_B,3:04 AM - 27 May 2010,OOOoooooO @if I will!!!!!!! i'll show u next time!!!<3<3<3<3  #feralC, ,https://twitter.com/HUD_B/status/14818766475
@shadowmcclone,3:03 AM - 27 May 2010,#feralC COULDN'T SHAKE IT HUH @Miss_Stressa  ANYWAY I'M OVER + OUT POGS., ,https://twitter.com/shadowmcclone/status/14818725686
@Miss_Stressa,3:00 AM - 27 May 2010,Yes I should I suppose @gossama. It still does make me feel - strange though. #feralC, ,https://twitter.com/Miss_Stressa/status/14818610496
@HUD_B,2:58 AM - 27 May 2010,:((((((((( but i LUV writing poems!!!!!!! i dont like heering bout haunted houses!!!!!!!???! @if  #feralC, ,https://twitter.com/HUD_B/status/14818550649
@gossama,2:56 AM - 27 May 2010,that's totally whackjob. i have nfi @Miss_Stressa. maybe get ur cam looked at?  #feralC, ,https://twitter.com/gossama/status/14818498514
@Miss_Stressa,2:54 AM - 27 May 2010,"..Is the title. When I downloaded them, each one had the title ""Street Museum"". -All- of them.  I certainly didn't call them that. #feralC", ,https://twitter.com/Miss_Stressa/status/14818432820
@HUD_B,2:52 AM - 27 May 2010,i'm sccccaaaaaredddddddd !!!!! #feralC, ,https://twitter.com/HUD_B/status/14818354179
@shadowmcclone,2:51 AM - 27 May 2010,#feralC READING ALL THIS, ,https://twitter.com/shadowmcclone/status/14818335207
@Miss_Stressa,2:51 AM - 27 May 2010,It does @if. And look at the next one: http://twitpic.com/1r8e2d - I swear I haven't manipulated that. And the other odd thing.. #feralC, ,https://twitter.com/Miss_Stressa/status/14818324684
@Miss_Stressa,2:49 AM - 27 May 2010,I thought that as well @gossama but then I realised that couldn't happen with an IPhone? See the next one: http://twitpic.com/1r8cy1#feralC, ,https://twitter.com/Miss_Stressa/status/14818257744
@gossama,2:47 AM - 27 May 2010,hmm @Miss_Stressa just looks like a frackup with exposure or somefink? #feralC, ,https://twitter.com/gossama/status/14818172726
@HUD_B,2:46 AM - 27 May 2010,OOoO i do c it!!!!!!!!! grey stuff!!!!!!!!!!!!!!!!!!!!!!!!!!! #feralC, ,https://twitter.com/HUD_B/status/14818146655
@Miss_Stressa,2:45 AM - 27 May 2010,But then I realised they weren't normal at all: http://twitpic.com/1r8cmk - see what I mean? #feralC, ,https://twitter.com/Miss_Stressa/status/14818108936
@Miss_Stressa,2:43 AM - 27 May 2010,After I took that first photo I decided to take some more. Each time they *looked* normal enough at first: http://twitpic.com/1r8c7w #feralC, ,https://twitter.com/Miss_Stressa/status/14818040168
@Miss_Stressa,2:41 AM - 27 May 2010,"Yes @gossama and @HUD_B, they probably did just paint. @if I'm not sure who, if anyone, lives there. And I'll tell you why...  #feralC", ,https://twitter.com/Miss_Stressa/status/14817985170
@gossama,2:40 AM - 27 May 2010,heh @Miss_Stressa betcha they just schmicked it up? #feralC, ,https://twitter.com/gossama/status/14817921280
@HUD_B,2:38 AM - 27 May 2010,awww @Miss_Stressa  they prob just painted it!!!!!?! @QReada r u there?????????  #feralC, ,https://twitter.com/HUD_B/status/14817885721
@Miss_Stressa,2:37 AM - 27 May 2010,"Yes @gossama it is normal, but it's just that I can't remember it ever looking so - new? #feralC", ,https://twitter.com/Miss_Stressa/status/14817831015
