Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@SparksAvenue_,9:44 AM - 8 Dec 2010,"@ohmaud oh yeah , #OMLA", ,https://twitter.com/SparksAvenue_/status/12517906441043969
@SparksAvenue_,9:46 AM - 8 Dec 2010,@ohmaud #OMLA she's a violeuse XD, ,https://twitter.com/SparksAvenue_/status/12518363993477120
@TimSimpson111,7:28 PM - 16 Feb 2011,Looking forward to #omla conference tomorrow and Friday., ,https://twitter.com/TimSimpson111/status/38032015605374976
@TimSimpson111,10:42 AM - 17 Feb 2011,"Listening to @ChristianLong at #omla conference in Sandusky, OH.  Great stuff!", ,https://twitter.com/TimSimpson111/status/38261913049759744
@Ohio_Middle,4:40 PM - 17 Feb 2011,Great 1st day of #OMLA State Conference @KalahariResorts! Join us for the Casino Night Social at 8 in the Ballroom, ,https://twitter.com/Ohio_Middle/status/38352003981774848
@Ohio_Middle,4:41 PM - 17 Feb 2011,@TKreisch the hash tag is #OMLA- hope the conference was rewarding for you today!, ,https://twitter.com/Ohio_Middle/status/38352462251302912
@JillBernaciak,3:02 AM - 18 Feb 2011,#OMLA stop @ LifeBound table 4 transition resources!, ,https://twitter.com/JillBernaciak/status/38508705884536832
@Ohio_Middle,8:17 AM - 18 Feb 2011,Day 2 of #OMLA Conference at @KalahariResorts. Awards & Keynote Dedra Stafford in the ballroom at 10:30., ,https://twitter.com/Ohio_Middle/status/38588013055459328
@Ohio_Middle,10:24 AM - 18 Feb 2011,"Regional, Component Awards, Educator/Team/Parent of the Year up next at #OMLA Conference at Kalahari.", ,https://twitter.com/Ohio_Middle/status/38619829070069760
@momto3inON,9:57 PM - 20 May 2011,Wonders how many large losses in one season it will take to make the kids not want to play anymore? #omla #lacrosse, ,https://twitter.com/momto3inON/status/71756354817228801
@iLoveMassad,5:50 AM - 18 Sep 2011,#OMLA GOSH! #TGF RT @xLincolnYFanx: Green and black..? Um.. Ok then.. RT @BlueEyedTatoes: Indeed! Theyre green and brown and black and blue…, ,https://twitter.com/iLoveMassad/status/115362067669712897
