Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@ILoveEPoetry,6:44 AM - 27 Dec 2014,"I  E-Poetry Archives: ""#OutsideUrDoor"" by Mez Breeze http://iloveepoetry.com/?p=39  #elit #poetry #dh",http://t.co/J4pOojBAAK,https://twitter.com/ILoveEPoetry/status/548806700052914178
@ILoveEPoetry,1:18 PM - 10 Apr 2014,"I  E-Poetry Archives: ""#OutsideUrDoor"" by Mez Breeze http://iloveepoetry.com/?p=39  #elit #poetry #dh",http://t.co/BS6hcMsrMm,https://twitter.com/ILoveEPoetry/status/454307377651515392
@ILoveEPoetry,3:42 AM - 7 Jun 2013,"I  E-Poetry Archives: ""#OutsideUrDoor"" by Mez Breeze http://iloveepoetry.com/?p=39  #elit #poetry #dh",http://t.co/tLr5ta65Qw,https://twitter.com/ILoveEPoetry/status/342909508458262528
@ILoveEPoetry,7:25 PM - 25 May 2013,"I  E-Poetry Archives: ""#OutsideUrDoor"" by Mez Breeze http://iloveepoetry.com/?p=39  #elit #poetry",http://t.co/tLr5ta65Qw,https://twitter.com/ILoveEPoetry/status/338435640368701440
@Leonardo_UPRM,2:00 PM - 14 Mar 2013,"Today in I  E-Poetry: ""#OutsideUrDoor"" by @netwurker http://leonardoflores.net/post/45353433963/outsideurdoor-by-mez-breeze#_=_ … #elit #poetry #dh #performance #twitter @mediascot",http://t.co/c81CjtnU2g,https://twitter.com/Leonardo_UPRM/status/312262049042399232
@Kiely__,6:37 PM - 2 Aug 2012,@jodie_carberry_ il drop sum dwn to u #outsideurDoor, ,https://twitter.com/Kiely__/status/231156922047426560
@OctoberDreaming,6:09 PM - 31 Oct 2010,RT @labfly perfect > mez @netwurker has some digital storytelling happening on twitter tonight follow #OutsideUrDoor swoot!, ,https://twitter.com/OctoberDreaming/status/29314818103
@Storeees,6:03 PM - 31 Oct 2010,perfect > mez @netwurker has some digital storytelling happening on twitter tonight follow #OutsideUrDoor swoot!, ,https://twitter.com/Storeees/status/29314392453
@kidNeutrino,4:49 PM - 31 Oct 2010,@MrShamble  would this be a side effect? http://bit.ly/cmV1mp #OutsideUrDoor, ,https://twitter.com/kidNeutrino/status/29309337477
@MarkRHancock,4:48 PM - 31 Oct 2010,Twitter is under attack from monsters!!!! aaahhh  check out #OutsideUrDoor, ,https://twitter.com/MarkRHancock/status/29309308956
@MrShamble,4:46 PM - 31 Oct 2010,http://bit.ly/bNwlPU  #OutsideUrDoor, ,https://twitter.com/MrShamble/status/29309134432
@MrShamble,4:45 PM - 31 Oct 2010,You..you...stay away..I’m vicious #OutsideUrDoor - I tell you!..A-a-and I move quick for a zombie! Stay...a-w-AYY...ARGGHHH-------- *gurgle*, ,https://twitter.com/MrShamble/status/29309085051
@MrShamble,4:45 PM - 31 Oct 2010,@Nozfera2?! @Nozfera2?? @NOZFERA2!?! Are you still #OutsideUrDoor ?! Where *are* you!!???? ...Oh NNNnoooooooO....http://bit.ly/9HTGsh, ,https://twitter.com/MrShamble/status/29309069869
@MrShamble,4:45 PM - 31 Oct 2010,Oh *crap* did you hear that @Nozfera2?! It’s @vvolfmaan’s...he’s....somethings....... #OutsideUrDoor, ,https://twitter.com/MrShamble/status/29309040827
