Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@MeatFort,10:42 PM - 3 Feb 2013,#sootfall Stones fell from the sky., ,https://twitter.com/MeatFort/status/298275253132603394
@MeatFort,10:46 PM - 3 Feb 2013,#sootfall Black rains and black snows—rains as black as a deluge of ink —jet-black snowflakes., ,https://twitter.com/MeatFort/status/298276380888674304
@eliterature,1:39 AM - 4 Feb 2013,Something is underway at the hashtag #sootfall. Is it an ARG? #netprov? Armageddon? #elit? Follow and find out., ,https://twitter.com/eliterature/status/298319768845438976
@MeatFort,2:27 AM - 4 Feb 2013,#sootfall Black rains—red rains—the fall of a thousand tons of butter., ,https://twitter.com/MeatFort/status/298331853717381120
@markcmarino,3:01 AM - 4 Feb 2013,@rmehlinger you should play #sootfall. That #netprov is just getting started. Some directions in the ELO FB group!, ,https://twitter.com/markcmarino/status/298340495631990784
@markcmarino,3:25 PM - 4 Feb 2013,Reminder: a new #netprov is falling at #sootfall... keep your eyes on the skies #elit, ,https://twitter.com/markcmarino/status/298527636106399744
@markcmarino,3:10 PM - 8 Feb 2013,Amazing 2013 #netprov so far: @occupymla to @tempspence/@spencerpratt to @samplereality onto #sootfall #elit, ,https://twitter.com/markcmarino/status/299973509088681984
@markcmarino,11:05 PM - 9 Feb 2013,A new #netprov begins tomorrow. Keep your eyes on the #sootfall hashtag.  The sky is falling. #elit, ,https://twitter.com/markcmarino/status/300455505321676801
@mattr555,12:39 PM - 10 Feb 2013,"Sweet, a new #ARG: #sootfall. I love these things", ,https://twitter.com/mattr555/status/300660334270750720
@gmendlz,6:34 PM - 10 Feb 2013,"http://goo.gl/RBZZe  This might be important, @DickLindy. #missingsomething #sootfall",http://t.co/iuZIIEiS,https://twitter.com/gmendlz/status/300749661386469376
@vernKaiser3,6:36 PM - 10 Feb 2013,"@gmendlz @DickLindy thats spooky, this stuff really looks like that. #pleasenothere #sootfall", ,https://twitter.com/vernKaiser3/status/300750176681865216
@OwenRinks,6:37 PM - 10 Feb 2013,"snagged some ""soot"" in a jar. it's still whirling around... @gmendlz #sootfall", ,https://twitter.com/OwenRinks/status/300750316779999232
@TroyLibLenore,6:38 PM - 10 Feb 2013,"@DickLindy @SheriffHarmon I'm sorry, I got a little freaked out.  I've calmed down now. Anything I can do to help figure out this #sootfall?", ,https://twitter.com/TroyLibLenore/status/300750514411413504
@TroyLibLenore,6:39 PM - 10 Feb 2013,@gmendlz @DickLindy Did a volcano erupt near here?  #sootfall, ,https://twitter.com/TroyLibLenore/status/300750896160182274
@vernKaiser3,6:40 PM - 10 Feb 2013,@TroyLibLenore @DickLindy @SheriffHarmon is there a plan? not paniked but I think we need to adress this somehow #sootfall, ,https://twitter.com/vernKaiser3/status/300751088053805057
@gmendlz,6:41 PM - 10 Feb 2013,@TroyLibLenore I'm trying to think about what everyone can do. This is different. This is important. More from me soon. #sootfall, ,https://twitter.com/gmendlz/status/300751361862144000
@doomSentinel,6:48 PM - 10 Feb 2013,"Getting up early tomorrow, to head over to the CoL compound.  Much to do! #sootfall", ,https://twitter.com/doomSentinel/status/300753152041422848
@DickLindy,6:55 PM - 10 Feb 2013,Do not panic - #snowfall not #sootfall., ,https://twitter.com/DickLindy/status/300754998541824000
@chouxsalad,6:56 PM - 10 Feb 2013,"In Troy, it's not only snow that's falling on this wintery weekend. #sootfall", ,https://twitter.com/chouxsalad/status/300755253408698368
@vernKaiser3,6:57 PM - 10 Feb 2013,"water coming into the basement at the cabin, not what i wanted to deal with tonigh #sootfall #flooding #nothappy", ,https://twitter.com/vernKaiser3/status/300755287156068353
@TroyLibLenore,6:57 PM - 10 Feb 2013,"@DickLindy It all looks gray outside.  That is not snow.  It isn't nice and sparkly either, its so dull. #sootfall seems right to me.", ,https://twitter.com/TroyLibLenore/status/300755290482163712
@Rufus_Park,6:57 PM - 10 Feb 2013,Not much snow left on the front yard #sootfall, ,https://twitter.com/Rufus_Park/status/300755363270107136
@papakumbaya,7:01 PM - 10 Feb 2013,watching the water flow. the great being is definitely speaking #sootfall, ,https://twitter.com/papakumbaya/status/300756437271982080
@vernKaiser3,7:03 PM - 10 Feb 2013,@GreysonMeyer to the bar? Im sick of trying to empty this basement and my power just went out #treedrunk #sootfall, ,https://twitter.com/vernKaiser3/status/300756882681909248
@FSynchronicity,7:04 PM - 10 Feb 2013,"Coming into Troy now, after a long flight. Can anyone recommend a good hotel? Don't want to get stuck outside in this #sootfall.", ,https://twitter.com/FSynchronicity/status/300757040018649088
@DickLindy,7:06 PM - 10 Feb 2013,@DickLindy @FSynchronicity Do not worry about the #sootfall, ,https://twitter.com/DickLindy/status/300757752119173120
@Rufus_Park,7:08 PM - 10 Feb 2013,"#sootfall or not, I hath given myself to the bottle", ,https://twitter.com/Rufus_Park/status/300758280307888128
@vernKaiser3,7:10 PM - 10 Feb 2013,@TroyLibLenore  @GreysonMeyer the library for that sophisticated drunks? #library #sootfall #anywhere, ,https://twitter.com/vernKaiser3/status/300758721636745216
@gmendlz,7:11 PM - 10 Feb 2013,http://grmendle.wordpress.com/2013/02/11/soot-fall/ … PLEASE SHARE THIS WITH EVERYONE #sootfall,http://t.co/2Wy805oR,https://twitter.com/gmendlz/status/300758892495912960
@GreysonMeyer,7:13 PM - 10 Feb 2013,Anybody call @DoomsdayPreppers I could use a millie #sootfall, ,https://twitter.com/GreysonMeyer/status/300759356172013568
@gmendlz,7:14 PM - 10 Feb 2013,To reiterate: Please use the hashtag #sootfall for everything. Our town needs to keep track of each other!, ,https://twitter.com/gmendlz/status/300759780371361792
@SheriffHarmon,7:19 PM - 10 Feb 2013,What's all this #sootfall Commotion about?? In MY day we trusted our Public officials..., ,https://twitter.com/SheriffHarmon/status/300760964935086080
@FSynchronicity,7:19 PM - 10 Feb 2013,"@FSynchronicity @gmendlz And yes, this is about the #sootfall", ,https://twitter.com/FSynchronicity/status/300760989140398080
@papakumbaya,7:20 PM - 10 Feb 2013,"New moon, no moon. This has gotta mean something, man. #sootfall", ,https://twitter.com/papakumbaya/status/300761071470399490
@GreysonMeyer,7:24 PM - 10 Feb 2013,@gmendlz our own walter white #sootfall, ,https://twitter.com/GreysonMeyer/status/300762152808087552
@gmendlz,7:25 PM - 10 Feb 2013,"@FSynchronicity No chicken-little, just humble caution. We don't know if this stuff is toxic, or what! #sootfall", ,https://twitter.com/gmendlz/status/300762395406643200
@FSynchronicity,7:29 PM - 10 Feb 2013,Made it to McCleary's. Fine place. Lots of storage space for my gear. Going to bunk down and wait this thing out. #sootfall #troy, ,https://twitter.com/FSynchronicity/status/300763445161242624
@GreysonMeyer,7:31 PM - 10 Feb 2013,@Rufus_Park you're in the boonies right? You got a view of an edge? #sootfall, ,https://twitter.com/GreysonMeyer/status/300763956635643905
@HensKnits,7:33 PM - 10 Feb 2013,"Looks like snow, but it's definitely not cold. It's sticking all over my new angora hat. What is this #sootfall ??", ,https://twitter.com/HensKnits/status/300764490524401664
@vernKaiser3,7:33 PM - 10 Feb 2013,@GreysonMeyer whats a teevee? #popreferences #iwatchtrees #sootfall, ,https://twitter.com/vernKaiser3/status/300764572569186305
@gmendlz,7:34 PM - 10 Feb 2013,"@FSynchronicity Welcome! Hope we get to meet soon! Wish I could drop by and be more hospitable, but, you know, circumstances. #sootfall", ,https://twitter.com/gmendlz/status/300764721567653888
@HensKnits,7:35 PM - 10 Feb 2013,And the pigs are still hiding in their little house...very bizarre. #sootfall, ,https://twitter.com/HensKnits/status/300765067312521217
@FSynchronicity,7:37 PM - 10 Feb 2013,"@gmendlz Hope this settles down soon as well, for both our sakes. Can hardly get out to shoot with this sort of weather on. #sootfall", ,https://twitter.com/FSynchronicity/status/300765381340037120
@AbarisBrautigan,7:38 PM - 10 Feb 2013,research into #sootfall suggests a connection between the Greek for false (pseudo) and the Greek for soot (psolos) as well as shame (psogos), ,https://twitter.com/AbarisBrautigan/status/300765691764699136
@AbarisBrautigan,7:41 PM - 10 Feb 2013,@pattycoventry It's all about the shame!  But the mythologies of the oral apparatus will not lead us through this undergoing of #sootfall, ,https://twitter.com/AbarisBrautigan/status/300766532378718208
@AbarisBrautigan,7:50 PM - 10 Feb 2013,"""what ps is for the Greeks, the shm sound is for the Jews, viz, one of contempt."" (qtd in *Applied Grammatology*). Psolos = soot. #sootfall", ,https://twitter.com/AbarisBrautigan/status/300768617560158208
@SheriffHarmon,7:54 PM - 10 Feb 2013,"More Information on this extreme Weather event coming soon. You cn always Depend on your municipal Authorities. Reluctantly, I tag #sootfall", ,https://twitter.com/SheriffHarmon/status/300769799951237120
@SheriffHarmon,7:55 PM - 10 Feb 2013,"@HensKnits Coming Soon, don't Trust #sootfall and Speculation!", ,https://twitter.com/SheriffHarmon/status/300770061524815872
@AbarisBrautigan,8:00 PM - 10 Feb 2013,"""art is the new religion and the new science as well"" (http://bit.ly/XA5f6M ) so consider Spazuk, soot-artist http://spazuk.net  #sootfall",http://t.co/uVQZw9RU,https://twitter.com/AbarisBrautigan/status/300771187120820225
@gmendlz,8:05 PM - 10 Feb 2013,@papakumbaya That is interesting... It's only by streetlights that we're able to see this stuff at all! #sootfall, ,https://twitter.com/gmendlz/status/300772492669239296
@GreysonMeyer,8:13 PM - 10 Feb 2013,new boots #sootfall pic.twitter.com/plJczMYB,http://t.co/plJczMYB,https://twitter.com/GreysonMeyer/status/300774626999554048
@GreysonMeyer,8:14 PM - 10 Feb 2013,Concerned selfie #sootfall pic.twitter.com/EhQUhPUN,http://t.co/EhQUhPUN,https://twitter.com/GreysonMeyer/status/300774738932928512
@gmendlz,8:18 PM - 10 Feb 2013,@vernKaiser3 @TroyLibLenore @GreysonMeyer You guys still drinking? I feel like I'm going crazy. #sootfall, ,https://twitter.com/gmendlz/status/300775690364653568
@AbarisBrautigan,8:20 PM - 10 Feb 2013,"perhaps the #sootfall has something to do with a vast, collective psychic phoenix burning itself out:  http://bit.ly/WDwUpH ",http://t.co/dRuK8Edn,https://twitter.com/AbarisBrautigan/status/300776306050748416
