Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@xMissBx,5:22 PM - 12 Jan 2013,Didn't realise I was watching the #Speidishow! Can't stand them #pleasegetthemout #cbb, ,https://twitter.com/xMissBx/status/290222120968003586
@ZoZoBrowning,5:40 PM - 12 Jan 2013,Well done #CBB you've just give them exactly wot they wanted!!! To b on their own its #CBB not the #SpeidiShow, ,https://twitter.com/ZoZoBrowning/status/290226877296164864
@andymartinbcfc,6:36 PM - 12 Jan 2013,@bbbots @bbuk razor apologized to the gobshites so why give him a warning? #SpeidiShow, ,https://twitter.com/andymartinbcfc/status/290240837386911745
@Mr_ChRiSsI_X,1:55 PM - 13 Jan 2013,Seriously getting fed up with @bbuk turning #CBB into the #SpeidiShow! Their behaviour is shocking and they should be kicked out!, ,https://twitter.com/Mr_ChRiSsI_X/status/290532523426074625
@Fannytankyb,4:04 PM - 13 Jan 2013,Still dont think #razor deserved that warning!!! #sortitout double standards!!! #speidishow @bbbots @bbuk @BBUKLive, ,https://twitter.com/Fannytankyb/status/290565056758951937
@catmcg75,4:59 PM - 13 Jan 2013,Can someone teach spencer how to shut his mouth when he's eating?? PLEASE #cbb or #speidishow as it now is., ,https://twitter.com/catmcg75/status/290578878320214017
@catmcg75,5:01 PM - 13 Jan 2013,How would #speidi know if the house was intense? They were only in there for about 2 days! #CBB #speidishow, ,https://twitter.com/catmcg75/status/290579309637271552
@MikeCook18,5:11 PM - 13 Jan 2013,"@bbuk @bbbots Taped the show but had to fast forward the bits with ""#Speidi"" in (because they're tosspots)...show lasted 15mins #Speidishow", ,https://twitter.com/MikeCook18/status/290581767486857216
@Gems_Turner,4:09 PM - 14 Jan 2013,@BBUKLive surprise surprise producers yet again going to make it an episode of the #speidishow #turningover speidi=#disgustingpeople, ,https://twitter.com/Gems_Turner/status/290928719479066625
@MikeCook18,4:26 PM - 14 Jan 2013,"@bbuk No side, just think Speidi are ruining the #Speidishow by being on it. Could BB be anymore scared of upsetting them??", ,https://twitter.com/MikeCook18/status/290932888537538562
@AmandaAphrodite,4:56 PM - 14 Jan 2013,@danebowers BB give in to them as per though #speidishow #getthemout, ,https://twitter.com/AmandaAphrodite/status/290940539698814976
@Allisonmw80,5:21 PM - 15 Jan 2013,@Maz2212 Really? I thought it was the #SpeidiShow x, ,https://twitter.com/Allisonmw80/status/291309201739882497
@Fannytankyb,5:42 PM - 15 Jan 2013,Participate in tasks and win your own fries!!!!!! #speidishow, ,https://twitter.com/Fannytankyb/status/291314461153828865
