Username,Time and Date,Tweet Text,URL Links
"
        @TorchInstitute
      ",2:19 PM - 17 Feb 2015,The Torch Institute has infiltrated the academy! Read about us in @hyperrhiz. http://www.hyperrhiz.net/hyperrhiz11/essays/bicycles-bonfires.html …,http://t.co/MCrLcBoHir
"
        @acatienz
      ",2:13 PM - 29 Nov 2013,@TorchInstitute The flame of freedom continues to burn within my heart..., 
"
        @TorchInstitute
      ",11:34 AM - 5 May 2013,Torch Institute is shutting down forever effective immediately and refocusing our energies towards animal welfare. #interface2013, 
"
        @TorchInstitute
      ",11:23 AM - 5 May 2013,ATTENTION NERDS OF #INTERFACE2013 -- EARTH SHAKING REVELATIONS T.B.A. IN APPROX. 2 MINUTES TIME. STAND BY. WE ARE TORCH. THIS IS NOT A GAME., 
"
        @MargaretAtwood
      ",7:18 PM - 4 May 2013,"@TorchInstitute: Ok, calling me ""Maggie"" is a giant step toward blockhood... >:>{", 
"
        @MargaretAtwood
      ",6:51 PM - 4 May 2013,@TorchInstitute: Only one way to find out., 
"
        @joeoliver1
      ",6:12 PM - 4 May 2013,"Met with Dr. Uzi Landau, Israeli Minister of Tourism, to discuss further enhancing the Canada-Israel energy... http://fb.me/AtLFuzDr ",http://t.co/LrXTgakSBZ
"
        @OttawaFireFPO
      ",2:46 PM - 4 May 2013,Working fire in a highrise at 230 Woodridge Cr. #ottnews Crews arriving and reporting smoke visible., 
"
        @TorchInstitute
      ",5:20 PM - 4 May 2013,Wondering how challenging it is to get @MargaretAtwood to block you on twitter? #interface2013, 
"
        @TorchInstitute
      ",5:01 PM - 4 May 2013,an important message to #interface2013 and anyone else who dares to #commitdigitalhumanities pic.twitter.com/4tJ4Ox3vR3,http://t.co/4tJ4Ox3vR3
"
        @Research4SML
      ",4:15 PM - 4 May 2013,@GRAND_NCE: #interface2013 is now trending on http://AcademiaMap.com ,http://t.co/Z10HTYVRdC
"
        @TorchInstitute
      ",4:30 PM - 4 May 2013,#interface2013 keynote speaker wonders when things are going to start wrapping up pic.twitter.com/cfKeP9oWA3,http://t.co/cfKeP9oWA3
"
        @TorchInstitute
      ",4:26 PM - 4 May 2013,#interface2013 attendees ask: would Tom Flanagan be more credible to speak on 'reterritorialization'?#commitdigitalhumanities, 
"
        @TorchInstitute
      ",4:23 PM - 4 May 2013,Curious absence of http://NAMBLA.com  advocates at this year's #interface2013. Only pinkos #commitdigitalhumanities,http://t.co/z9KvUdUeRd
"
        @TorchInstitute
      ",4:20 PM - 4 May 2013,#interface2013 explores fragmented nature of contemporary academic thought #commitdigitalhumanities, 
"
        @TorchInstitute
      ",4:18 PM - 4 May 2013,Does locative media encourage kids to disrespect principles of property ownership? #interface2013 #commitdigitalhumanities, 
"
        @theHyperlab
      ",3:13 PM - 4 May 2013,"#interface2013 Andrea Hunter updates C.P. Snow's 2--no, 3 cultures & why sociologists should study DH. #dhcarleton", 
"
        @TorchInstitute
      ",1:59 PM - 4 May 2013,"stunning presentation: ""How Solitaire revolutionized productivity in academia"" #interface2013 #commitdigitalhumanities", 
"
        @TorchInstitute
      ",1:49 PM - 4 May 2013,"KNOCK, KNOCK, KNOCK, OPEN UP! #interface2013 #commitdigitalhumanities pic.twitter.com/BjQKvTS3pC",http://t.co/BjQKvTS3pC
"
        @AllanHubley_23
      ",1:16 PM - 4 May 2013,Honoured to launch Kanata Little League 2013 season with Mark Bradley and the amazing team of volunteers Play ball! pic.twitter.com/ltEXjkJVHQ,http://t.co/ltEXjkJVHQ
"
        @TorchInstitute
      ",12:01 PM - 4 May 2013,Why big data still isn't quite there in terms of making sense of James Joyce's Ulysses #interface2013 #commitdigitalhumanities, 
"
        @TorchInstitute
      ",11:59 AM - 4 May 2013,"What was *really* going on w/ Mario, Luigi & Princess Toadstool? @thehyperlab explains at #interface2013 #commitdigitalhumanities", 
"
        @TorchInstitute
      ",11:48 AM - 4 May 2013,"Lunch at #interface2013? Follow the scent of roasted oryx for lavish, publicly-funded exotic treats! #commitdigitalhumanities", 
"
        @TorchInstitute
      ",11:40 AM - 4 May 2013,"On deck at #interface2013: riding the gravy train as an immersive, locative experience #commitdigitalhumanities", 
"
        @TorchInstitute
      ",11:38 AM - 4 May 2013,Next at #interface2013: another ivory tower type on taxpayer-computer interfaces #interface2013 #commitdigitalhumanities, 
"
        @TorchInstitute
      ",11:31 AM - 4 May 2013,Diagetic? More like diarrhetic! #interface2013 #commitdigitalhumanities, 
"
        @TorchInstitute
      ",11:24 AM - 4 May 2013,shouldn't #interface2013 be analyzing oedipal tensions of a sonnet or whatever? #commitdigitalhumanities pic.twitter.com/J6XjgMESJW,http://t.co/J6XjgMESJW
"
        @TorchInstitute
      ",10:43 AM - 4 May 2013,"#interface2013 is like Bilderberg for a secretive cabal of nerds, geeks and cyborg sympathizers #commitdigitalhumanities", 
"
        @TorchInstitute
      ",10:27 AM - 4 May 2013,TIMMMMMMMMBER! #interface2013: you don't #commitdigitalhumanities pic.twitter.com/auf72FzEfY,http://t.co/auf72FzEfY
"
        @interrobird
      ",10:07 AM - 4 May 2013,"@TorchInstitute It will allegedly go up like a 22 storey torch, you could say.", 
"
        @TorchInstitute
      ",10:05 AM - 4 May 2013,"Next at #interface2013: egghead meanders on relationship b/t terrorism & social media. You don't #commitdigitalhumanities, you terrorize!", 
"
        @TorchInstitute
      ",9:57 AM - 4 May 2013,anyone at #interface2013 know of a good place to light one up? #commitdigitalhumanities, 
"
        @TorchInstitute
      ",9:50 AM - 4 May 2013,Hope we'll be seeing everyone at the #interface2013 wrap-up barbecue ; ) #commitdigitalhumanities, 
"
        @indigilinks
      ",7:16 AM - 4 May 2013,Alright! Day 1 of @interface2013 has been a massive success. Let's do it again today! #interface2013, 
"
        @TorchInstitute
      ",11:12 AM - 28 Apr 2013,Taking over #hastac2013 at 11:45 in 005! #bonfireofthehumanities, 
"
        @JaznimoBar23
      ",10:42 PM - 6 Mar 2013,I am now a member of the @TorchInstitute !! Thanks for the free buttons and matches! #HIST3812, 
"
        @TorchInstitute
      ",12:50 AM - 7 Mar 2013,"Dividends skydiving divine docks offshore Billerica, #datavisualization", 
"
        @ocrosby
      ",5:46 PM - 6 Mar 2013,Evidence. @burrlauren @TorchInstitute #freematches #hist3812 pic.twitter.com/YHku1YJhs3,http://t.co/YHku1YJhs3
"
        @TorchInstitute
      ",5:03 PM - 6 Mar 2013,Torch Institute accepts no responsibility for acts of arson committed by digital history students in Ottawa tonight. #freematches #hist3812, 
"
        @TorchInstitute
      ",12:37 PM - 6 Mar 2013,Recruiting today at Carleton University!, 
"
        @MuttersomeTaxi
      ",11:41 AM - 5 Mar 2013,AYO @TORCHINSTITUTE I'M PRETTY SURE THE GAMES ARE JUST BEGINNING. COME AT ME BRO. #COMEATMEBRO #HACKTHEPLANET #WHATISTHISIDONTEVEN, 
"
        @TorchInstitute
      ",11:34 AM - 5 Mar 2013,Torch Institute prides itself on academic identity theft. Just ask @theHyperlab., 
"
        @TorchInstitute
      ",11:33 AM - 5 Mar 2013,Hey #hist3812! Click this link for 5 easy steps on how to steal your Marxist professor's identity! http://torchinstitute.ca/archive/steal-your-marxist-professors-identity.html …,http://t.co/fjiag5E3EW
"
        @TorchInstitute
      ",4:09 PM - 4 Mar 2013,"We're recruiting in Ottawa this week! Disaffected arts students, join us TODAY to get your free box of matches. http://torchinstitute.ca/archive/participate.html …",http://t.co/Ky5eodhg4i
"
        @TorchInstitute
      ",8:41 AM - 3 Mar 2013,Recently found footage from a Torch protest at #congress2012: http://youtu.be/ZzMm43fFPao  #bonfireofthehumanities,http://t.co/nJTXiWeDSq
"
        @TorchInstitute
      ",5:44 PM - 1 Mar 2013,"ATTN #hist3812: We've been driven underground since #congress2012, but the flame of freedom can be rekindled. We can be compelled to speak.", 
"
        @theHyperlab
      ",5:37 PM - 10 Jun 2012,seems like a trend... #cgsa2012 @TorchInstitute http://www.ottawacitizen.com/news/Embarrassment+government+considered+security+threat+Toronto/6759816/story.html …,http://t.co/QlmJyjV5
"
        @OkayKendall
      ",10:29 AM - 29 May 2012,@uWaterloo : Ideas End Here, 
"
        @TorchInstitute
      ",1:03 AM - 31 May 2012,This would be shut down by @uWaterloo and #Congress2012 under pretext of public safety: http://flamechallenge.org/ ,http://t.co/p7YW8TO0
"
        @busy_____bee
      ",9:22 PM - 30 May 2012,@TorchInstitute I always win in the end., 
"
        @busy_____bee
      ",8:48 PM - 30 May 2012,"Voices were silenced and restrictions were made on the definition of artistic freedom. But don't worry, busybee understands...", 
"
        @TorchInstitute
      ",6:23 PM - 30 May 2012,Join special guest @joeoliver1 and learn how to angle and skin the slurry off yellow perch! #FreedomSummer, 
"
        @TorchInstitute
      ",6:16 PM - 30 May 2012,"Register for our ""Summer of Freedom"" Athabasca Tailing Pond retreat today! One all-inclusive weekend of freedom for only $995!", 
"
        @TorchInstitute
      ",6:13 PM - 30 May 2012,Join @TorchInstitute for our 2012 'Summer of Freedom' cottage retreat at Athabasca Tailing Pond! Swimming! Fishing! Drinking (water)!, 
"
        @OkayKendall
      ",5:57 PM - 30 May 2012,This won't be the last time you'll hear from Kevin Kendall or the @TorchInstitute. We'll be in the shadows fanning the flames of freedom., 
"
        @Apostle_David
      ",5:26 PM - 30 May 2012,Thou shalt keep them secretly in a pavilion from the strife of tongues. Psalm 31:20, 
"
        @Apostle_David
      ",4:59 PM - 30 May 2012,Let the lying lips be put to silence; which speak grievous things proudly and contemptuously against the righteous. Psalm 31:18, 
"
        @TorchInstitute
      ",5:05 PM - 30 May 2012,"""Overgeneralization"" & ""Jumping to Conclusions"" ARE on the list of cognitive distortions, but real question is do you trust paychiatrists?", 
"
        @TorchInstitute
      ",4:57 PM - 30 May 2012,Academics erupt into applause as #TorchInstitute declares victory!, 
